Country,Year,CO2eq
FRA,2007,484.34
FRA,2008,479.37
FRA,2009,468.92
FRA,2010,470.21
FRA,2011,443.9
FRA,2012,440.65
FRA,2013,442.44
FRA,2014,415.98
FRA,2015,423.58
FRA,2016,432.84
FRA,2017,446.79
FRA,2018,427.21
FRA,2019,421.62
FRA,2020,376.06
FRA,2021,403.27
CZE,1990,190.19
CZE,1991,170.92
CZE,1992,164.97
CZE,1993,157.64
CZE,1994,150.03
CZE,1995,148.69
CZE,1996,152.3
CZE,1997,148.74
CZE,1998,142.88
CZE,1999,132.67
CZE,2000,141.97
CZE,2001,141.6
CZE,2002,138.04
CZE,2003,141.84
CZE,2004,142.87
CZE,2005,140.68
CZE,2006,143.09
CZE,2007,145.32
CZE,2008,138.93
CZE,2009,129.49
CZE,2010,133.01
CZE,2011,131.05
CZE,2012,126.92
CZE,2013,122.17
CZE,2014,120.05
CZE,2015,121.54
CZE,2016,124
CZE,2017,126.45
CZE,2018,130.18
CZE,2019,131.23
CZE,2020,124.34
CZE,2021,126.74
AUS,1990,636.27
AUS,1991,621.5
AUS,1992,556.77
AUS,1993,535.32
AUS,1994,530.96
AUS,1995,514.21
AUS,1996,522.31
AUS,1997,522.85
AUS,1998,524.33
AUS,1999,539.61
AUS,2000,566.36
AUS,2001,586.64
AUS,2002,582.52
AUS,2003,591.49
AUS,2004,584.85
AUS,2005,616.29
AUS,2006,626.79
AUS,2007,641.52
AUS,2008,630.25
AUS,2009,630.91
AUS,2010,613.33
AUS,2011,594.03
AUS,2012,579.08
AUS,2013,561.1
AUS,2014,555.82
AUS,2015,540.91
AUS,2016,512.48
AUS,2017,509.81
AUS,2018,514.23
AUS,2019,505.86
AUS,2020,491.51
AUS,2021,462.6
